address,trades_fetched,last_trade,trades_per_day,avg_trade_usdc,median_trade_usdc,micro_trade_ratio,markets_count,round_trip_ratio,likely_arbitrage
0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,500,2026-02-22T16:31:00Z,60845.07,6402.83,36.99,0.17,1,0.000,False
0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,500,2026-02-23T05:31:32Z,1986.02,641.28,1.07,0.74,17,0.022,True
0xc2e7800b5af46e6093872b177b7a5e7f0563be51,500,2026-02-10T03:10:17Z,32.90,40820.37,94.76,0.27,21,0.000,False
0x0720803c7cb0d0c5a928787b3b7ea148c6831cdb,500,2026-02-22T13:00:34Z,693.62,5447.71,21.04,0.25,2,0.000,False
0xac44cb78be973ec7d91b69678c4bdfa7009afbd7,500,2026-02-18T20:00:26Z,495.67,5514.55,32.01,0.33,3,0.000,False
0xd25c72ac0928385610611c8148803dc717334d20,500,2026-02-07T14:29:59Z,57.01,4362.15,19.00,0.37,9,0.000,False
0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,500,2026-02-22T05:10:46Z,328.72,1566.91,20.08,0.14,5,0.000,False
0x876426b52898c295848f56760dd24b55eda2604a,500,2026-02-13T01:47:57Z,3831.15,297.81,12.86,0.36,8,0.000,False
0x14964aefa2cd7caff7878b3820a690a03c5aa429,500,2026-02-22T23:13:58Z,35.68,1488.74,31.45,0.24,20,0.002,False
0x1d8a377c5020f612ce63a0a151970df64baae842,500,2026-02-08T20:58:25Z,45.41,6287.71,6.54,0.45,19,0.000,False
0x492442EaB586F242B53bDa933fD5dE859c8A3782,500,2026-02-22T22:56:20Z,257.71,7886.46,49.21,0.23,36,0.000,False
0x876426B52898C295848f56760dd24B55Eda2604a,500,2026-02-13T01:47:57Z,3831.15,297.81,12.86,0.36,8,0.000,False
0x1D8A377C5020f612cE63a0a151970DF64BAAE842,500,2026-02-08T20:58:25Z,45.41,6287.71,6.54,0.45,19,0.000,False
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,500,2026-02-23T05:22:32Z,2179.18,35.21,5.26,0.50,47,0.000,False
0x492442eab586f242b53bda933fd5de859c8a3782,500,2026-02-22T22:56:20Z,257.71,7886.46,49.21,0.23,36,0.000,False
0x13414a77a4be48988851c73dfd824d0168e70853,500,2026-02-23T04:52:36Z,477.41,517.29,37.60,0.24,37,0.000,False
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,500,2026-02-23T05:31:44Z,47368.42,8.42,2.35,0.65,10,0.016,False
0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,500,2026-02-23T03:30:32Z,361.37,813.16,13.57,0.33,9,0.000,False
